month,total_reports,serious_injury,death,malfunction,device_failure,material_issues,software_issues,user_error,patient_reports,healthcare_reports,manufacturer_reports,litigation_risk_score
2020-01,44,2,0,17,6,4,3,9,8,13,22,1.3
2020-02,53,2,0,21,7,5,4,11,10,15,26,1.5
2020-03,43,2,0,17,6,4,3,9,8,12,21,1.3
2020-04,44,2,0,17,6,4,3,9,8,13,22,1.3
2020-05,41,2,0,16,6,4,3,8,8,12,20,1.3
2020-06,50,2,0,20,7,5,4,10,10,15,25,1.5
2020-07,70,8,2,24,14,10,7,3,28,24,17,5.9
2020-08,77,9,2,26,15,11,7,3,30,26,19,6.4
2020-09,57,6,1,19,11,8,5,2,22,19,14,4.4
2020-10,60,7,1,21,12,9,6,3,24,21,15,4.9
2020-11,60,7,1,21,12,9,6,3,24,21,15,4.9
2020-12,73,8,2,25,14,10,7,3,29,25,18,5.9
2021-01,116,29,9,34,29,9,3,1,81,29,5,10.0
2021-02,115,28,9,34,28,9,3,1,80,28,5,10.0
2021-03,97,24,7,29,24,7,2,0,67,24,4,10.0
2021-04,193,48,15,57,48,15,5,1,135,48,9,10.0
2021-05,211,52,16,63,52,16,6,2,147,52,10,10.0
2021-06,166,41,13,49,41,13,4,1,116,41,8,10.0
